support,itemsets,length
0.098,"frozenset({'cases', 'trump', 'rally', 'tulsa'})",4
0.098,"frozenset({'cases', 'new', 'rally', 'tulsa'})",4
0.097,"frozenset({'cases', 'new', 'trump', 'days'})",4
0.097,"frozenset({'cases', 'new', 'trump', 'tulsa'})",4
0.097,"frozenset({'new', 'trump', 'days', 'tulsa'})",4
0.097,"frozenset({'cases', 'new', 'days', 'tulsa'})",4
0.097,"frozenset({'cases', 'trump', 'days', 'tulsa'})",4
0.097,"frozenset({'cases', 'new', 'trump', 'rally'})",4
0.097,"frozenset({'new', 'trump', 'rally', 'tulsa'})",4
0.097,"frozenset({'cases', 'new', 'rally', 'days'})",4
0.097,"frozenset({'new', 'trump', 'rally', 'days'})",4
0.097,"frozenset({'new', 'rally', 'days', 'tulsa'})",4
0.097,"frozenset({'cases', 'trump', 'rally', 'days'})",4
0.097,"frozenset({'cases', 'rally', 'days', 'tulsa'})",4
0.097,"frozenset({'trump', 'rally', 'days', 'tulsa'})",4
0.091,"frozenset({'cases', 'new', 'days', 'past'})",4
0.09,"frozenset({'cases', 'new', 'days', 'reported'})",4
0.09,"frozenset({'cases', 'rally', 'days', 'past'})",4
0.09,"frozenset({'cases', 'days', 'past', 'tulsa'})",4
0.09,"frozenset({'cases', 'trump', 'days', 'past'})",4
0.09,"frozenset({'cases', 'new', 'rally', 'past'})",4
0.09,"frozenset({'cases', 'new', 'past', 'tulsa'})",4
0.09,"frozenset({'cases', 'new', 'trump', 'past'})",4
0.09,"frozenset({'cases', 'rally', 'past', 'tulsa'})",4
0.09,"frozenset({'cases', 'trump', 'rally', 'past'})",4
0.09,"frozenset({'cases', 'trump', 'past', 'tulsa'})",4
0.09,"frozenset({'new', 'rally', 'days', 'past'})",4
0.09,"frozenset({'new', 'days', 'past', 'tulsa'})",4
0.09,"frozenset({'new', 'trump', 'days', 'past'})",4
0.09,"frozenset({'rally', 'days', 'past', 'tulsa'})",4
0.09,"frozenset({'trump', 'rally', 'days', 'past'})",4
0.09,"frozenset({'trump', 'days', 'past', 'tulsa'})",4
0.09,"frozenset({'new', 'rally', 'past', 'tulsa'})",4
0.09,"frozenset({'new', 'trump', 'rally', 'past'})",4
0.09,"frozenset({'new', 'trump', 'past', 'tulsa'})",4
0.09,"frozenset({'trump', 'rally', 'past', 'tulsa'})",4
0.09,"frozenset({'cases', 'new', 'outbreak', 'reported'})",4
0.09,"frozenset({'cases', 'new', 'rally', 'likely'})",4
0.09,"frozenset({'cases', 'new', 'likely', 'tulsa'})",4
0.09,"frozenset({'cases', 'rally', 'likely', 'tulsa'})",4
0.09,"frozenset({'new', 'rally', 'likely', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'trump', 'reported'})",4
0.089,"frozenset({'new', 'trump', 'days', 'reported'})",4
0.089,"frozenset({'cases', 'trump', 'days', 'reported'})",4
0.089,"frozenset({'cases', 'new', 'trump', 'nearly'})",4
0.089,"frozenset({'cases', 'trump', 'nearly', 'reported'})",4
0.089,"frozenset({'reported', 'new', 'trump', 'nearly'})",4
0.089,"frozenset({'cases', 'new', 'nearly', 'reported'})",4
0.089,"frozenset({'reported', 'trump', 'days', 'nearly'})",4
0.089,"frozenset({'cases', 'days', 'nearly', 'reported'})",4
0.089,"frozenset({'reported', 'new', 'days', 'nearly'})",4
0.089,"frozenset({'cases', 'trump', 'days', 'nearly'})",4
0.089,"frozenset({'new', 'trump', 'days', 'nearly'})",4
0.089,"frozenset({'cases', 'new', 'days', 'nearly'})",4
0.089,"frozenset({'new', 'days', 'nearly', 'tulsa'})",4
0.089,"frozenset({'trump', 'days', 'nearly', 'tulsa'})",4
0.089,"frozenset({'cases', 'days', 'nearly', 'tulsa'})",4
0.089,"frozenset({'new', 'trump', 'nearly', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'nearly', 'tulsa'})",4
0.089,"frozenset({'cases', 'trump', 'nearly', 'tulsa'})",4
0.089,"frozenset({'tulsa', 'days', 'reported', 'nearly'})",4
0.089,"frozenset({'tulsa', 'new', 'reported', 'nearly'})",4
0.089,"frozenset({'tulsa', 'trump', 'reported', 'nearly'})",4
0.089,"frozenset({'cases', 'tulsa', 'reported', 'nearly'})",4
0.089,"frozenset({'new', 'days', 'reported', 'tulsa'})",4
0.089,"frozenset({'trump', 'days', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'days', 'reported', 'tulsa'})",4
0.089,"frozenset({'new', 'trump', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'trump', 'reported', 'tulsa'})",4
0.089,"frozenset({'new', 'rally', 'days', 'nearly'})",4
0.089,"frozenset({'cases', 'rally', 'days', 'nearly'})",4
0.089,"frozenset({'trump', 'rally', 'days', 'nearly'})",4
0.089,"frozenset({'rally', 'days', 'nearly', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'rally', 'nearly'})",4
0.089,"frozenset({'new', 'trump', 'rally', 'nearly'})",4
0.089,"frozenset({'new', 'rally', 'nearly', 'tulsa'})",4
0.089,"frozenset({'cases', 'trump', 'rally', 'nearly'})",4
0.089,"frozenset({'cases', 'rally', 'nearly', 'tulsa'})",4
0.089,"frozenset({'trump', 'rally', 'nearly', 'tulsa'})",4
0.089,"frozenset({'reported', 'rally', 'days', 'nearly'})",4
0.089,"frozenset({'reported', 'new', 'rally', 'nearly'})",4
0.089,"frozenset({'cases', 'rally', 'nearly', 'reported'})",4
0.089,"frozenset({'reported', 'trump', 'rally', 'nearly'})",4
0.089,"frozenset({'reported', 'rally', 'nearly', 'tulsa'})",4
0.089,"frozenset({'new', 'rally', 'days', 'reported'})",4
0.089,"frozenset({'cases', 'rally', 'days', 'reported'})",4
0.089,"frozenset({'trump', 'rally', 'days', 'reported'})",4
0.089,"frozenset({'rally', 'days', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'rally', 'reported'})",4
0.089,"frozenset({'new', 'trump', 'rally', 'reported'})",4
0.089,"frozenset({'new', 'rally', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'trump', 'rally', 'reported'})",4
0.089,"frozenset({'cases', 'rally', 'reported', 'tulsa'})",4
0.089,"frozenset({'trump', 'rally', 'reported', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'rally', 'county'})",4
0.089,"frozenset({'new', 'rally', 'county', 'tulsa'})",4
0.089,"frozenset({'cases', 'rally', 'county', 'tulsa'})",4
0.089,"frozenset({'cases', 'new', 'county', 'tulsa'})",4
0.089,"frozenset({'rally', 'county', 'nearly', 'tulsa'})",4
